Repository_Path,Discipline,Manual_Role,Control_Note
docs/Production-Harness-Milestone/Rev1-Harness-BOM.csv,Harness,Primary project harness BOM,Chapter 1 base with current supersessions
docs/Production-Harness-Milestone/Splice-Ground-Reference.md,Harness,Ground/splice guidance,Controlling concept
docs/Production-Harness-Milestone/Terminal-Selection-Gate.md,Harness,Terminal selection gate,Release control
docs/Production-Harness-Milestone/Verification-Register.csv,Harness,Production verification evidence,Verification
docs/Production-Harness-Milestone/Wire-Size-Schedule.csv,Harness,Wire sizing schedule,Supporting; later 4mm pump rule wins
docs/Project-Status/B01-B44-Physical-Dimension-Capture.csv,Project Status,Current physical dimension capture,Verification
docs/Project-Status/Electrical-Load-Test-Master-Register.csv,Project Status,Current electrical load tests,Verification
docs/Project-Status/Electrical-Load-Verification-and-Protection-Freeze.md,Project Status,Load/protection closure milestone,Controlling next-work procedure
docs/Project-Status/Fuel-Pump-Power-Stage-Decision-Register.csv,Project Status,Current pump stage decision,Release gate
docs/Project-Status/Physical-Bike-Evidence-Master-Register.csv,Project Status,Current physical evidence,Verification
docs/Project-Status/Physical-Bike-Measurement-and-Hardware-ID-Milestone.md,Project Status,Physical hardware closure,Controlling current milestone
docs/Project-Status/Physical-Build-Readiness-Punchlist.csv,Project Status,Open physical blockers,Controlling status
docs/Project-Status/Physical-Evidence-Session-Plan.md,Project Status,Physical measurement session,Procedure
docs/Project-Status/Protection-Coordination-Final-Freeze-Register.csv,Project Status,Final protection freeze,Release gate
docs/Project-Status/Repository-Master-Index-and-Build-Readiness-Audit.md,Project Status,Repository/build readiness index,Controlling project audit
docs/Release/Maintenance-Event-Log.csv,Release,In-service maintenance log,Post-build
docs/Release/Master-Release-Maintenance-Package.md,Release,Master in-service release,Post-build
docs/Release/Master-Release-Manifest.csv,Release,Release manifest,Post-build
docs/Sensor-Expansion/FT550-Input-Allocation.csv,Sensors,FT550 input assignment,Controlling allocation when verified
docs/Sensor-Expansion/FT550-Input-Capacity-Audit.md,Sensors,Input capacity review,Supporting
docs/Sensor-Expansion/FT550-Verified-Cavity-Map.md,Sensors,Verified FT550 cavities,Controlling cavity source
docs/Sensor-Expansion/README.md,Sensors,Sensor expansion index,Supporting
docs/Sensor-Expansion/Sensor-Expansion-Matrix.csv,Sensors,Sensor hardware/input matrix,Verification/planning
docs/Track-Validation/Launch-Track-Release.md,Track,Track launch procedure,Post-dyno
docs/Track-Validation/Launch-Track-Test-Matrix.csv,Track,Track test matrix,Post-dyno verification
docs/Track-Validation/Launch-Track-Verification-Register.csv,Track,Track verification,Post-dyno verification
docs/VRXSE-FT550/Electrical-Architecture-and-Grounding.md,Architecture,Power/ground domains,Controlling concept
docs/VRXSE-FT550/Trigger-and-MAP-Strategy.md,Architecture,Trigger/MAP strategy,Controlling concept
docs/VRXSE-FT550/VRXSE-to-FT550-Sensor-Matrix.md,Architecture,OEM sensor integration,Supporting/verification
